"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"429","1977","""Born on the Fourth of July""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"430","1971","""Bring The Boys Home""","Freda Payne","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"431","1966","""Bring Them Home""","Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"432","1965","""Business Goes on as Usual""","Chad Mitchell Trio","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"433","1994","""Calley""","Dog Faced Hermans","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"434","1981","""Cambodia""","Kim Wilde","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"435","1966","""C'era un ragazzo che come me amava i Beatles e i Rolling Stones""","Gianni Morandi","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"436","1980","""Charlie Don't Surf""","The Clash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"437","1970","""Child in Time""","Deep Purple","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"438","1977","""Commando""","The Ramones","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"439","1988","""Copperhead Road""","Steve Earle","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"440","1988","""Daddy Won't Be Home Anymore""","Dolly Parton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"441","1973","""Daniel""","Elton John","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"442","1965","""Dear Uncle Sam""","Loretta Lynn","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"443","1969","""Declaration""","The Fifth Dimension","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"444","1969","""Disk of Sun""","Ewan MacColl","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"445","1968","""Draft Morning""","The Byrds","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"446","1970","""Draft Resister""","Steppenwolf","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"447","2000","""Do You Know""","Jo Sung-mo","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"448","1994","""Drive On""","Johnny Cash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"449","1965","""Eve of Destruction""","Barry McGuire and P.F. Sloan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"450","1969","""The Fiddle and the Drum""","Joni Mitchell","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"451","1967","""Fixin to Die Rag""","Country Joe McDonald","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"452","1967","""For What It's Worth""","Buffalo Springfield","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"453","1969","""Fortunate Son""","Creedence Clearwater Revival","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"454","1970","""Frightened Lady""","The Hollies","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"455","1977","""Front Line""","Stevie Wonder","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"456","1971","""The Grave""","Don McLean","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"457","1969","""Galveston""","Glen Campbell","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"458","1995","""Galveston Bay""","Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"459","1966","""Get It While You can""","Janis Joplin","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"460","1969","""Gimme Shelter""","Rolling Stones","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"461","1984","""The Girl Next Door""","Country Joe MacDonald","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"462","1969","""Give Peace a Chance""","The Plastic Ono Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"463","2009","""Godspeed""","The Red Jumpsuit Apparatus","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"464","1965","""Goodbye to Vietnam""","Kitty Hawkins","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"465","1981","""Goodnight Saigon""","Billy Joel","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"466","1972","""The Great Compromise""","John Prine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"467","1972","""Guns, Guns, Guns""","The Guess Who","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"468","1970","""Hand of Doom""","Black Sabbath","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"469","1973","""Hallelujah Day""","Jackson 5","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"470","1971","""Happy Xmas (War Is Over)""","John Lennon & Yoko Ono/The Plastic Ono Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"471","1976","""Harvest for the World""","The Isley Brothers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"472","1980","""Holiday in Cambodia""","Dead Kennedys","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"473","1965","""I Ain't Marching Anymore""","Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"474","1966","""I Am a Lucky One""","Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"475","1968","""I Don't Wanna Go To Vietnam""","John Lee Hooker","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"476","1967","""I-Feel-Like-I'm-Fixin'-To-Die Rag""","Country Joe and the Fish","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"477","2006","""I Have Seen the Rain""","Pink","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"478","1970","""I Should Be Proud""","Martha and the Vandellas","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"479","1983","""I Was Only Nineteen (A Walk in the Light Green)""","Redgum","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"480","1971","""I'd Love to Change the World""","Ten Years After","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"481","1971","""Imagine""","John Lennon","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"482","1970","""I'm Your Captain (Closer to Home)""","Grand Funk Railroad","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"483","1981","""In the Army Now""","Status Quo","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"484","1988","""Johnny Come Lately""","Steve Earle","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"485","1968","""Kay""","John Wesley Ryles","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"486","1970","""Kent State Massacre""","Jack Warshaw","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"487","1978","""Khe Sanh""","Cold Chisel","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"488","1966","""Kill for Peace""","The Fugs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"489","1970","""Kill Your Sons""","Lou Reed","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"490","1989","""Kim's Nightmare""","Miss Saigon Soundtrack","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"491","1974","""La La Peace Song""","Al Wilson, O. C. Smith","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"492","1966","""Last Train To Clarksville""","The Monkees","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"493","1970","""Last Train to Nuremberg""","Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"494","1970","""Lay Down (Candles in the Rain)""","Melanie Safka","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"495","1966","""Letter From Vietnam""","Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"496","2002","""Live Those Songs Again""","Kenny Chesney","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"497","1985","""Love Vigilantes""","New Order","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"498","1965","""Lyndon Johnson Told The Nation""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"499","1970","""Machine Gun""","Jimi Hendrix","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"500","1970","""Mama Bake a Pie (Daddy Kill a Chicken)""","Tom T. Hall","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"501","1971","""Man in Black""","Johnny Cash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"502","1992","""March""","Jackopierce","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"503","1973","""March to the Witch's Castle""","Funkadelic","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"504","1971","""Moratorium""","Buffy Sainte-Marie","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"505","1989","""More Than a Name on a Wall""","The Statler Brothers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"506","1966","""My Name Is Lisa Kalvelage""","Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"507","1966","""My Son John""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"508","1972","""Now or Never""","Yoko Ono","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"509","1970","""Ohio""","Neil Young","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"510","1964","""One More Parade""","Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"511","1971","""One Tin Soldier""","Coven","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"512","1985","""Old Hippie""","The Bellamy Brothers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"513","1967","""On the Path of Glory""","Petula Clark","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"514","1988","""Orange Crush""","R.E.M.","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"515","1972","""The Patriot's Dream""","Gordon Lightfoot","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"516","1971","""People, Let's Stop the War""","Grand Funk Railroad","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"517","1968","""Por Vietnam""","Quilapayún","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"518","1985","""The Price of Paradise""","Minutemen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"519","1982","""Pull Out The Pin""","Kate Bush","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"520","1970","""Question""","The Moody Blues","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"521","1972","""Readjustment Blues""","John Denver","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"522","1967","""Requiem for the Masses""","The Association","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"523","1992","""Rooster""","Alice in Chains","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"524","1970","""Running Gun Blues""","David Bowie","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"525","1967","""Saigon Bride""","Joan Baez","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"526","1966","""Salute to the Nurses""","Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"527","1971","""Sam Stone""","John Prine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"528","1984","""Shut Out the Light""","Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"529","1970","""Silent Homecoming""","Ringo Starr","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"530","1968","""Simple Song of Freedom""","Bobby Darin","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"531","1971","""Singing in Vietnam Talking Blues""","Johnny Cash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"532","1970","""Sit Down Young Stranger""","Gordon Lightfoot","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"533","1971","""Six White Horses""","Waylon Jennings","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"534","1968","""Sky Pilot""","Eric Burdon and The Animals","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"535","1973","""Smile""","Jack Traylor and Steelwind","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"536","1969","""Smiley""","Ronnie Burns","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"537","1990","""Something to Believe In""","Poison","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"538","1983","""Song for the Dead""","Randy Newman","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"539","1982","""Still in Saigon""","The Charlie Daniels Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"540","1970","""Stoned Love""","The Supremes","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"541","1982","""Straight to Hell""","The Clash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"542","1971","""Student Demonstration Time""","The Beach Boys","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"543","1971","""Sunshine""","Jonathan Edwards","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"544","1967","""Super Bird""","Country Joe and the Fish","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"545","1969","""Sweet Cherry Wine""","Tommy James and the Shondells","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"546","1967","""Take it Back""","Cream","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"547","1964","""Talkin' Vietnam""","Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"548","2010","""Summer Of '68""","The Charlie Daniels Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"549","1968","""Talking Vietnam Potluck Blues""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"550","1973","""Tame the Lion/Those That Die""","Emitt Rhodes","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"551","2005","""That Old Porch Swing""","Eddy Arnold","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"552","1972","""The Ballad of Penny Evans""","Steve Goodman","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"553","1966","""The Soldier Has Come Home""","Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"554","1965","""The War Drags On""","Donovan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"555","1965","""The Willing Conscript""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"556","2010","""This Ain't Nothing""","Craig Morgan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"557","1999","""This Is My Rifle""","Mark Maysey","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"558","1968","""Three-Five-Zero-Zero""","from the musical, Hair","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"559","1969","""To Susan on the West Coast Waiting""","Donovan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"560","2002","""Travelin' Soldier""","Dixie Chicks","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"561","2006","""Uncommon Valor: A Vietnam Story""","Jedi Mind Tricks","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"562","1968","""Unknown Soldier""","The Doors","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"563","1984","""Viet Nam""","Minutemen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"564","1966","""Vietcong Blues""","Junior Wells","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"565","1962","""Vietnam""","Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"566","1970","""Vietnam""","Jimmy Cliff","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"567","1981","""Vietnamerica""","The Stranglers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"568","1966","""Vietnam Blues""","Kris Kristofferson","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"569","1993","""Vietnam Glam""","Indochine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"570","1967","""Waist Deep in the Big Muddy""","Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"571","1983","""Walking on a Thin Line""","Huey Lewis and The News","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"572","2003","""The Wall""","Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"573","1970","""War""","Edwin Starr","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"574","1968","""War Games""","the Monkees","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"575","1968","""The War Is Over""","Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"576","1971","""War Movie""","Jefferson Airplane","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"577","1970","""War Pigs""","Black Sabbath","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"578","1969","""Wasted Words""","The Motions with Robbie van Leeuwen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"579","1965","""We Didn't Know""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"580","1964","""What Did You Learn in School Today?""","Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"581","1971","""What's Going On""","Marvin Gaye","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"582","1966","""Welterusten meneer de president (Sleep Well Mr. President)""","Boudewijn de Groot","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"583","1973","""Where Are You Now, My Son?""","Joan Baez","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"584","1968","""White Boots Marching in a Yellow Land""","Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"585","1998","""Wild Irish Rose""","George Jones","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"586","1969","""Wooden Ships""","Crosby, Stills & Nash and Jefferson Airplane","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"587","1970","""Woodstock""","Joni Mitchell and Crosby, Stills, Nash & Young","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"588","1998","""World of Trouble""","Molly Hatchet","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"589","1971","""Your Flag Decal Won't Get You Into Heaven Anymore""","John Prine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"590","1971","""Yours Is No Disgrace""","Yes","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"591","1976","Soldier","Stephen Stills","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000
"592","1978","""78 RPM""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"593","1978","""90 Miles From Dublin""","Christy Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
"594","1978","""Alternative Ulster""","Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529
