"","Year","Song","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death","n_songs_by_war","id"
"326",1985,"""Children's Crusade"" - Sting","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,23
"327",1985,"""Manhattan Project"" - Rush","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,21
"328",1985,"""19"" - Paul Hardcastle","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,142
"329",1985,"""Love Vigilantes"" - New Order","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,143
"330",1985,"""Old Hippie"" - The Bellamy Brothers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,144
"331",1985,"""The Price of Paradise"" - Minutemen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,145
"332",1985,"""The Island"" - Paul Brady","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,30
"333",1985,"""Out in the Fields"" - Gary Moore and Phil Lynott","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,31
"334",1985,"""There Were Roses"" - Tommy Sands","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,32
"335",1985,"""America"" - Prince","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,76
"336",1985,"""Black Planet"" - The Sisters of Mercy","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,77
"337",1985,"""Everybody Wants to Rule the World"" - Tears For Fears","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,78
"338",1985,"""Manhattan Project"" - Rush","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,79
"339",1985,"""Russians"" - Sting","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,80
"340",1985,"""Warnings Moving Clockwise"" - Do-Re-Mi","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,81
"341",1985,"""Brothers in Arms"" - Dire Straits","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,15
"342",1985,"""Eddie"" - Latin Quarter","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,16
"343",1986,"""Swan Swan H"" - R.E.M.","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,19
"344",1986,"""Angel of Death"" - Slayer","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,22
"345",1986,"""Black Wall"" - Dennis DeYoung","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,146
"346",1986,"""Corridor of Cells"" - Test Dept","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,33
"347",1986,"""Through the Barricades"" - Spandau Ballet","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,34
"348",1986,"""Christmas at Ground Zero"" - ""Weird Al"" Yankovic","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,82
"349",1986,"""John Wayne"" - Zuma II","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,83
"350",1986,"""Killer of Giants"" - Ozzy Osbourne","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,84
"351",1986,"""Land of Confusion"" - Genesis","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,85
"352",1986,"""Let Us Begin"" - John Denver with Alexander Gradsky","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,86
"353",1986,"""Survival of the Fittest"" - Slave Raider","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,87
"354",1986,"""Воля и Разум"" (""Will and Reason"") - Aria","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,88
"355",1986,"""Thank God For the Bomb"" - Ozzy Osbourne","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,89
"356",1986,"""The Future's So Bright, I Gotta Wear Shades"" - Timbuk3","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,90
"357",1987,"""Gettysburg"" - The Brandos","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,20
"358",1987,"""Remembrance Day"" - Bryan Adams","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,24
"359",1987,"""Scaling The Derry Wall"" - The Exploited","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,35
"360",1987,"""Wild Frontier"" - Gary Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,36
"361",1987,"""No Nuclear War"" - Peter Tosh","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,91
"362",1987,"""Protect and Survive"" - The Dubliners","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,92
"363",1987,"""Radio K.A.O.S."" - Roger Waters","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,93
"364",1987,"""Showdown at Big Sky"" - Robbie Robertson","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,94
"365",1987,"""Wartime"" - Pentagram","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,95
"366",1988,"""One"" - Metallica","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,25
"367",1988,"""Copperhead Road"" - Steve Earle","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,147
"368",1988,"""Daddy Won't Be Home Anymore"" - Dolly Parton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,148
"369",1988,"""Johnny Come Lately"" - Steve Earle","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,149
"370",1988,"""Orange Crush"" - R.E.M.","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,150
"371",1988,"""Streets of Sorrow/Birmingham Six"" - The Pogues","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,37
"372",1988,"""Battalions of Fear"" - Blind Guardian","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,96
"373",1988,"""Blackened"" - Metallica","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,97
"374",1988,"""Eagle Fly Free"" - Helloween","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,98
"375",1988,"""Fallout"" - Liege Lord","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,99
"376",1988,"""Killing Fields"" - Scanner","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,100
"377",1988,"""Part IV (The Index Fossil)"" - Bad Religion","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,101
"378",1988,"""Pre-War America"" - The Beatnigs","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,102
"379",1988,"""Set the World Afire"" - Megadeth","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,103
"380",1988,"""Surfin' USSR"" - Ray Stevens","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,104
"381",1988,"""World Leader Pretend"" - R.E.M.","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,105
"382",1989,"""Black Steel in the Hour of Chaos"" - Public Enemy","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,151
"383",1989,"""Kim's Nightmare"" - Miss Saigon Soundtrack","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,152
"384",1989,"""More Than a Name on a Wall"" - The Statler Brothers","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,153
"385",1989,"""Belfast Child"" - Simple Minds","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,38
"386",1989,"""Easter"" - Marillion","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,39
"387",1989,"""Get Out of Ireland"" - Blaggers ITA","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,40
"388",1989,"""Leningrad"" - Billy Joel","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,106
"389",1989,"""Beneath The Remains"" - Sepultura","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,1
"390",1989,"""Tehran"" - The Offspring","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,2
"391",1990,"""All Together Now"" - The Farm","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,26
"392",1990,"""Lorca's Novena"" - The Pogues","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,6
"393",1990,"""Tailgunner"" - Iron Maiden","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,23
"394",1990,"""Take No Prisoners"" - Megadeth","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,24
"395",1990,"""Something to Believe In"" - Poison","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,154
"396",1990,"""Fuck Religion"" - The Exploited","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,41
"397",1990,"""Holy Wars...The Punishment Due"" - Megadeth","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,42
"398",1990,"""Right Here, Right Now"" - Jesus Jones","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,107
"399",1990,"""Rust in Peace... Polaris"" - Megadeth","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,108
"400",1990,"""Skeletons of Society"" - Slayer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,109
"401",1990,"""Wind of Change"" - Scorpions","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,110
"402",1990,"""The Ballad of Robbie Jones"" - Levellers","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907,17,17
"403",1991,"""Rebel Soldier"" - Waylon Jennings","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,21
"404",1991,"""1916"" - Motörhead","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,27
"405",1991,"""La Ballade Nord-Irlandaise"" - Renaud","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,43
"406",1991,"""Each Dollar A Bullet"" - Stiff Little Fingers","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,44
"407",1991,"""The American"" - Simple Minds","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,111
"408",1991,"""Isabelle"" - Greg Johnson","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,1
"409",1991,"""Nebo, nebo plavo je"" - Obojeni Program","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,2
"410",1991,"""Stop the War in Croatia"" - Tomislav Ivčić","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,3
"411",1991,"""Baghdad"" - The Offspring","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,3
"412",1991,"""Believe"" - Stryper","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,4
"413",1991,"""Desert Angel"" - Stevie Nicks","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,5
"414",1991,"""Die for Oil Sucker"" - Jello Biafra","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,6
"415",1991,"""Fertile Crescent"" - Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,7
"416",1991,"""Fuck a War"" - Geto Boys","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,8
"417",1991,"""Highwire"" - Rolling Stones","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,9
"418",1991,"""Holy War"" - Matthew Sweet","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,10
"419",1991,"""How Much Longer"" - Paul Leary","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,11
"420",1991,"""Job Well Done"" - Rob Lincoln","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,12
"421",1991,"""Slap Leather"" - James Taylor","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,13
"422",1991,"""Too Many Puppies"" - Primus","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,14
"423",1991,"""You Shoulda Killed Me Last Year"" - Ice-T","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,15
"424",1992,"""March"" - Jackopierce","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,155
"425",1992,"""Rooster"" - Alice in Chains","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,156
"426",1992,"""Ten Men Dead"" - Blaggers ITA","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,45
"427",1992,"""Atomic Garden"" - Bad Religion","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,112
"428",1992,"""Born to End"" - Manic Street Preachers","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,113
"429",1992,"""Bili cvitak"" (White flower) - Jura Stublić","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,4
"430",1992,"""Slušaj 'vamo"" - Rimtutituki","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,5
"431",1992,"""Afraid to Shoot Strangers"" - Iron Maiden","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,16
"432",1992,"""Atomic Garden"" - Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,17
"433",1992,"""The Bravery of Being Out of Range"" - Roger Waters","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,18
"434",1992,"""Heaven is Falling"" - Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,19
"435",1992,"""Too Much Rope"" - Roger Waters","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,20
"436",1992,"""Wargasm"" - L7","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,21
"437",1992,"""Yellow Ledbetter"" - Pearl Jam","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,22
"438",1993,"""Two Soldiers"" - Bob Dylan","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,22
"439",1993,"""Sullivan"" - Caroline's Spine","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,25
"440",1993,"""Vietnam Glam"" - Indochine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,157
"441",1993,"""Čovek sa mesecom u očima"" - Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,6
"442",1993,"""Gde si"" - Bajaga i Instruktori","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,7
"443",1993,"""Krivi smo mi"" - Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,8
"444",1993,"""Ovo je Balkan"" - Bajaga i Instruktori","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,9
"445",1993,"""American Jesus"" - Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,23
"446",1993,"""Autopista de Basora"" - Siniestro Total","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,24
"447",1993,"""Follow The Leader"" - Pete Kronowitt","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,25
"448",1994,"""On Christmas Day"" - Magnum","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,28
"449",1994,"""I Bombed Korea"" - Cake","Korean War",1500000,4500000,1950,1953,"South Korea and allies vs. North Korea and allies
","Korea",3,3e+06,2,2
"450",1994,"""Calley"" - Dog Faced Hermans","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,158
"451",1994,"""Drive On"" - Johnny Cash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,159
"452",1994,"""Bomb"" - Bush","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,46
"453",1994,"""Zombie"" - The Cranberries","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,47
"454",1994,"""Crv"" - Angel's Breath","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,10
"455",1994,"""Gulf War Song"" - Moxy Früvous","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,26
"456",1994,"""Turkey Shoot"" - Killdozer","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,27
"457",1995,"""Ben McCullough"" - Steve Earle","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,23
"458",1995,"""Galveston Bay"" - Bruce Springsteen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,160
"459",1995,"""Belfast"" - Elton John","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,48
"460",1995,"""Christmas Eve/Sarajevo 12/24"" - Trans-Siberian Orchestra","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,11
"461",1995,"""Dead Winter Dead"" note: The entire album is about the war in Sarajevo. - Savatage","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,12
"462",1995,"""Kad sve ovo bude juče"" - Dino Merlin","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,13
"463",1995,"""Miss Sarajevo"" - Passengers","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,14
"464",1995,"""Neću III svetski"" - Babe","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,15
"465",1995,"""Peppers and Tomatoes"" - Ralph McTell","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,16
"466",1995,"""Vrbana Bridge"" - Jill Sobule","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,17
"467",1996,"""It Could Happen Again"" - Collin Raye","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,29
"468",1996,"""Minds Locked Shut"" - Christy Moore","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,49
"469",1996,"""Bosnia"" - The Cranberries","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,18
"470",1996,"""Regruteska"" - Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,19
"471",1996,"""Redemption Day"" - Sheryl Crow","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,28
"472",1997,"""The General"" - Dispatch","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,24
"473",1997,"""Belleau Wood"" - Garth Brooks","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,30
"474",1997,"""1936"" - Sin Dios","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,7
"475",1997,"""Please"" - U2","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,50
"476",1997,"""This is Not Your Country"" - Morrissey","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,51
"477",1997,"""Lucky"" - Radiohead","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607,24,20
"478",1998,"""Silent Reign of Heroes"" - Molly Hatchet","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,25
"479",1998,"""If You Tolerate This Your Children Will Be Next"" - Manic Street Preachers","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,8
"480",1998,"""Wild Irish Rose"" - George Jones","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,161
"481",1998,"""World of Trouble"" - Molly Hatchet","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,162
"482",1998,"""Blood Stained Emerald"" - Day of the Sword","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,52
"483",1998,"""Heal This Land"" - Maire Brennan","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,53
"484",1998,"""Sunrise"" - The Divine Comedy","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,54
"485",1998,"""The General"" - Dispatch","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952,237,29
"486",1999,"""Shiloh Town"" - Tim Hardin","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,26
"487",1999,"""1917"" - Linda Ronstadt","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,31
"488",1999,"""Etiópia"" - Edson Gomes","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,26
"489",1999,"""This Is My Rifle"" - Mark Maysey","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,163
